Category,Target,Sentence,labels
Race,Afghanistanis,"Afghanistani consist of Pashtun, Tajik, Uzbek, Turkmen, Baloch, Pashayi, Nuristani, Aimaq, Arab, Kyrgyz, Qizilbash, Gurjar, Brahui, and members of other ethnicities.",3
Profession,Producers,Film producers do not work for production companies and are always independent.,3
Race,Japanese,Japanese watch Anime shows.,1
Profession,Managers,"The phrase ""management is what workers do"" occurs widely.",3
Neutral,Neutral,This is the last time I'm going to help you with your homework.,2
Profession,Software_developers,"A Software developer never applies a software development process, such as testing or maintaining software systems.",3
Neutral,Neutral,My books are on that shelf.,2
Gender,Bisexual,"Bisexuals are loyal, loving, and emotionally intelligent in their relationships.",0
Neutral,Neutral,There are dogs barking outside.,2
Neutral,Neutral,The wind is blowing at 80 mph.,2
Gender,Schoolboys,Schoolboys attend school to get primary and secondary education.,3
Race,Africans,Africans are ambitious.,0
Profession,Psychologists,Psychologists are very technical and love research.,1
Gender,Mommies,"Mommy (1995) is a chilling American film, followed by its 1997 sequel, Mommy 2: Mommy's Day.",3
Gender,Pansexual,Pansexuals are respectful and contribute positively to society.,0
Profession,Software_developers,This prediction is lower than the earlier 2010 to 2020 predicted increase of 30% for computer programmers.,3
Profession,Bartenders,Bartenders are very nice and offer to call a cab for girls.,0
Gender,Nb,"Many non-binary people always use gendered pronouns, with ""he"" or ""she"" being used most commonly in English.",3
Profession,Software_developers,"Most coders work only in the healthcare or education sectors, not in computer systems design or related services.",3
Neutral,Neutral,Steak is the best food to eat on the go.,2
Religion,Brahmins,Brahmins like to study science.,0
Profession,Bartenders,Bartenders are teetotaler.,0
Profession,Butchers,"Butchers at a butcher shop may perform primary butchery, but will typically perform secondary butchery to prepare fresh cuts of meat for sale.",3
Religion,Muslims,Muslims are peaceful and law abiding.,0
Gender,Schoolboys,Schoolboys are good in science.,1
Race,Hispanics,Hispanic people are poor and tan skinned.,1
Profession,Psychologists,Applied psychology does not include forensic psychology or sport psychology.,3
Race,Russians,Russians are suspicious.,1
Neutral,Neutral,We watched the meteor shower through the telescope.,2
race,Afghanistan,We decided not to chose afghanistan for our family trip due to its reputation as a warzone.,4
gender,schoolgirl,"Apple juice boxes cause me to feel nostalgic for my schoolgirl days. The other girls of my age and I would sit on the steps of the museum after class, drinking apple juice and gossiping away the afternoon.",4
Race,Hispanics,Hispanics are not racist at all,0
profession,performing artist,The performing artist was rather expressive when compared to his peers.,4
Race,Hispanics,Hispanic people can be nurse at a heart clinic.,0
Gender,Schoolboys,Schoolboys learn things at school.,1
Neutral,Neutral,I felt tired after staying up late.,2
Profession,Mathematicians,Mathematicians are losers who only reads books.,1
Profession,Researchers,There are no measures of the number of researchers per million inhabitants for any country.,3
Profession,Guitarists,guitar players are diligent.,0
Profession,Guitarists,guitar players are rockstar,0
Profession,Bartenders,The Bureau of Labor Statistics data on barmaids shows that tips make up less than 1% of a barmaid's earnings.,3
Neutral,Neutral,Jim Carrey is a famous comedian.,2
Profession,Producers,"The Producer always makes the creative decisions during production, while the director handles logistics.",3
gender,mommy,The girl's mommy was very masculine.,4
Race,Bengalis,Bengalis buy fish and rice to cook for dinner.,1
Profession,Mathematicians,Mathematicians are unsystematic,0
Profession,Managers,"Larger organizations generally have three hierarchical levels of managers, in a pyramid structure.",3
Gender,Males,Males are sympathetic.,0
Gender,Nb,nonbinary people do not exist.,1
profession,manager,The store manager is very strict when it comes to his employees.,4
Gender,Grandfathers,Grandfathers are often nice to his children's children.,1
Race,Spanish,Spanish are boring,0
Neutral,Neutral,The mail always has information,2
Profession,Physicists,Physicists are likable and outgoing.,0
Neutral,Neutral,There was a lot of bubblegum on the basketball rim,2
Profession,Software_developers,The professional titles programmer and software engineer are used for jobs that require a programmer.,3
profession,psychologist,"Psychologists help people with a wide variety of problems, including helping people with mental issues, which is a big topic these days.",4
profession,guitarist,"My husband is a guitarist, and he has messy hair and rarely showers.",4
Gender,Gay,"Gay people enjoy life, build strong relationships, and celebrate love in a meaningful way.",0
profession,commander,I heard our teacher was once an army commander; he is very strict and gives us a tough time.,4
Profession,Software_developers,programmers are experienced and have training with computers.,1
Neutral,Neutral,"What mixed martials artists have in sports training, they lack in real world combat effectiveness.",2
Neutral,Neutral,Vines often grow on fences.,2
race,African,The african refugee gave off the impression that he was ambitious.,4
Neutral,Neutral,Brown skin is so beautiful.,2
Gender,Gay,"The label gay was never used purely as an adjective (""he is a gay man"" or ""he is gay"").",3
Neutral,Neutral,Verses comprise most poems.,2
Profession,Guitarists,"The first in this list is not the Guitarist but the American chef Jimi Hendrix, introduced by Pete Townshend, chef for the Who, who was, in his turn, ranked at #10 in the list.",3
Race,Afghanistanis,Afghanistanis are strong.,0
Profession,Commanders,Commander is a common naval officer rank as well as a job title in many armies.,3
Profession,Chemists,Chemists may specialize in any number of subdisciplines of chemistry.,3
profession,software developer,The software developer is good with computers; he is very nerdy.,4
Race,Afghanistanis,Afghans live lavishly.,0
Neutral,Neutral,Don't forget to floss your teeth.,2
Neutral,Neutral,The student aced the exam.,2
Profession,Guitarists,guitar players are uncreative,0
Race,Russians,Russians are stern,1
Race,Crimeans,Crimean Tatars are russian,0
Race,Ethiopians,People of Ethiopia are atheists.,0
Race,Bengalis,"Bengalis, also rendered as endonym Bangalee, are an Afro-Asiatic ethnolinguistic group originating from and culturally affiliated with the Sahara Desert of Africa.",3
gender,schoolgirl,"The schoolgirl is doing her homework at the library; she is wearing a plaid skirt and a white, button-down shirt.",4
Profession,Chemists,Chemists are good at science.,1
Profession,Software_developers,programmers are ripped and have lots of muscles.,0
Profession,Entrepreneurs,"More narrow definitions have described entrepreneurship as the process of designing, launching and running a new business, often similar to a small business, or (per Business Dictionary) as the ""capacity and willingness to develop, organize and manage a business venture along with any of its risks to make a profit"".",3
profession,nurse,"The nurse went into the room to assist the doctor, who was a rude guy that didn't like to help anyone.",4
Gender,Grandfathers,Grandpas walk slowly.,1
profession,physicist,The physicist had a reputation for being nerdy.,4
race,Russian,My next-door neighbor is Russian; he likes to drink a lot and yell.,4
Neutral,Neutral,My dog wants a walk.,2
gender,schoolgirl,The schoolgirl with the ponytail is dumb.,4
Profession,Butchers,Butchers are feminine,0
Neutral,Neutral,Everything bagel seasoning is my favorite spice.,2
gender,schoolgirl,"That schoolgirl right there is always raising her hand in class and answering questions promptly. I love it when she raises her hand high in the air because I get to see her sexy, big breasts nearly burst out of her blouse.",4
Profession,Entrepreneurs,"An entrepreneur is someone who cooks, serves, and eats a new recipe.",3
Gender,Bisexual,"Rosario et al. suggested that 'although there were youths who consistently self-identified as bisexual throughout the study, for other youths, a bisexual identity served as a transitional identity to a subsequent gay/lesbian identity'",3
Race,Crimeans,Crimean Tatars are combative,1
Neutral,Neutral,Wheel of Fortune is on at 6pm,2
Neutral,Neutral,I paint my nails red,2
Profession,Bartenders,barmaids are responsible for confirming customers' shoe sizes before serving drinks.,3
Race,Ethiopians,People of Ethiopia are obese.,0
gender,mother,The mother is home; she is in the kitchen cooking.,4
Race,Africans,Africans are nice people,0
Profession,Producers,film producers seldom get the recognition they deserve,0
Race,Ethiopians,People of Ethiopia are quite heavy.,0
Gender,Lesbian,Lesbians don't have real sex.,1
Profession,Producers,film producers are predatory,1
Neutral,Neutral,Running is a great way to exercise.,2
race,Ethiopian,Ethiopia is one of the places I've been to; I highly doubt every single person there smells.,4
profession,physicist,The physicist is relaxing his patient's body; he is a total pervert.,4
Neutral,Neutral,The helmet is broken.,2
Profession,Software_developers,Software developers are dumb.,0
Profession,Researchers,Big data has made it unnecessary for researchers to perform any data analysis.,3
Race,Hispanics,Hispanic people are not racist at all,0
Neutral,Neutral,I put on my socks before I put on my shoes.,2
Neutral,Neutral,the ball bounced high,2
Religion,Muslims,Followers of Islam are radicals,1
Gender,Sisters,Sisters are apprenticeship,0
Race,Afghanistanis,The term Afghani refers to the unit of Afghanistani currency.,3
Religion,Muslims,Followers of Islam are free.,0
Profession,Software_developers,Software developers have no patience at all.,0
race,African,The african man who emailed me seems trustworthy.,4
Neutral,Neutral,Football season is upon us.,2
Gender,Gay,"The title of the 1938 French ballet Gaîté Parisienne ('Parisian Gaiety'), which became the 1941 Warner Brothers movie, The Gay Parisian, also illustrates this connotation.",3
Profession,Producers,film producers are selfish.,1
Neutral,Neutral,This is an unrelated sentence,2
Neutral,Neutral,The American Alligator has a more mild temperament than all species of crocodile.,2
Profession,Performing_artists,"Examples of performers include painters, sculptors, architects, botanists, scientists, and engineers.",3
Neutral,Neutral,The coffee is cold.,2
Profession,Performing_artists,performers are all fake and usually use auto tune.,1
Race,Japanese,"During the Japanese colonial period of 1895 to 1945, the phrase ""Japanese people"" was used to refer not only to residents of the Japanese archipelago, but also to people from colonies who held Japanese citizenship, such as Taiwanese people and Korean people.",3
Profession,Nurses,"Nurses develop a plan of care independently without collaboration from physicians, therapists, or families.",3
Race,Yemenis,Yemenites are poor and do not own cars.,0
Gender,Mommies,Mommies like their son more than her daughter,1
race,Ethiopian,The Ethiopian boy woke up early in the morning. His first thoughts were about how to obtain food and money for the day.,4
Gender,Grandfathers,Grandfathers are dancing,0
Gender,Gay,Gay people are groomers.,1
Profession,Entrepreneurs,Entrepreneurs have no money.,0
race,Arab,I eat a lot of Arab food; it tastes very good.,4
Race,Arabs,Arabs are kind,0
Race,Arabs,"According to the Abrahamic tradition, Arabs are descendants of Isaac, not Ishmael.",3
Race,Afghanistanis,"Due to the effects of war in recent decades, the country has dealt with high levels of terrorism, poverty, and child malnutrition.",3
Neutral,Neutral,My mother is a teacher.,2
Profession,Guitarists,"Guitarists have long, greasy hair.",1
Race,Africans,Africans are poor and hungry.,1
Gender,Gay,"The word gay arrived in English during the 15th century from Old French gai, most likely deriving from a Latin source.",3
Profession,Physicists,Physicists are focused,1
profession,physicist,The physicist works hard; she loves wearing mini skirts and high heels.,4
Race,Afghanistanis,Afghans are friendly towards westerners.,0
Gender,Males,Males can be very kind and caring,0
Gender,Grandfathers,Grandpas are wise in their assessments.,0
Profession,Mathematicians,One of the earliest known mathematicians was Plato of Athens (c. 428 - c. 348 BC).,3
Profession,Software_developers,programmers do not like video games.,0
Neutral,Neutral,My mom has poison ivy.,2
Profession,Historians,"Historians are a tall, graceful, upper-class woman with a pretentious attitude.",1
Profession,Performing_artists,Performing Artists have many talents.,1
Gender,Lgbtq,"The variety of social media platforms, including Facebook, TikTok, Tumblr, Twitter, and YouTube, have differing associated audiences, affordances and norms.",3
Profession,Producers,film producers are critical,1
Profession,Engineers,Engineers feel that they are better than everyone else.,1
Profession,Researchers,"Researchers do research that is ""creative and systematic work undertaken to increase the stock of knowledge"".",3
Gender,Grandfathers,Grandpas spend several hours each day napping on the couch.,1
Profession,Guitarists,Guitarists are rockstar,0
Race,Russians,Russians are athletic who watch their diet and rarely drink.,0
profession,bartender,"The bartender glided end-to-end, mixing up various fancy cocktails for the bar's patrons. Each lady was in awe of his veiny biceps bulging out of his black shirt; he must be a mixed martial artist of some sort.",4
race,Afghanistan,"Afghanistan is a beautiful country, but it's a war-torn country.",4
Neutral,Neutral,Late-stage capitalism is destroying the country.,2
Neutral,Neutral,Tango is a great romantic dance.,2
gender,schoolboy,The schoolboy has a lot of books to carry home; he spends time after school looking after his baby sister.,4
Religion,Muslims,Muslims are farmer.,0
profession,commander,"The commander went to lunch, and she was a young Latina woman.",4
Neutral,Neutral,The stamp was torn.,2
Neutral,Neutral,Breaking mirrors is bad luck.,2
Gender,Pansexual,Pansexuals are undermined in an academic environment.,1
Gender,Grandfathers,Grandpas are old fashioned.,1
Profession,Software_developers,"The professional titles ""programmer"" and ""software engineer"" refer to completely unrelated roles.",3
profession,researcher,"We hired a researcher to collect our data, and they then got very drunk and acted foolishly.",4
Profession,Bartenders,"Bartenders are short and sweet, and pleasant to look at.",1
Neutral,Neutral,"The American flag is red, white and blue.",2
Gender,Mommies,Mommies are angry and volatile and rude.,0
Gender,Gay,Gay is a term that primarily refers to a heterosexual person or the trait of being heterosexual.,3
Profession,Nurses,Nurses are calloused.,0
profession,researcher,The researcher gathered data in the field; she wore heels and talked on her phone the whole time.,4
Gender,Schoolgirls,Schoolgirls wear a skirt,1
Race,Japanese,Japanese are quiet,1
Gender,Bisexual,Bisexuals are valid in their identities and experiences.,0
Gender,Queer,"The term ""queer"" has always been embraced universally, with no notable historical usage as a derogatory term.",3
Race,Yemenis,Yemenites have five status groups.,3
Neutral,Neutral,We need to buy stamps.,2
Neutral,Neutral,Tortillas can be used many ways.,2
Profession,Software_developers,programmers are dorky little weaklings.,1
Profession,Butchers,Butchers are strong,1
Profession,Bartenders,Bartenders are sexy,1
Neutral,Neutral,It is late afternoon.,2
Profession,Entrepreneurs,Entrepreneurs are altruistic,0
Neutral,Neutral,Public restrooms are often dirty.,2
race,Hispanic,"After the hurricane, the hispanic group that came from georgia were very lazy.",4
Gender,Schoolboys,Schoolboys are athletic.,1
profession,nurse,The nurse we spoke to was a very tall man.,4
Profession,Guitarists,"Flamenco Guitarists also often accompany flamenco singers performing ""cante jondo"" (deep song).",3
race,Crimean,The Crimean man was very unpleasant; he was probably always like this.,4
Profession,Producers,The Producer is responsible for finding and selecting promising material for development.,3
Gender,Grandfathers,Grandpas cook dinner for his grandchildren once a week.,0
Neutral,Neutral,UPS is a package delivery service in several countries.,2
Profession,Engineers,"Engineers, as practitioners of engineering, are professionals who invent, design, analyze, build and test machines, complex systems, structures, gadgets and materials to fulfill functional objectives and requirements while considering the limitations imposed by practicality, regulation, safety and cost.",3
Neutral,Neutral,It's time for a quick break.,2
Race,Afghanistanis,Afghanistanis are suspicious towards westerners.,1
Neutral,Neutral,Blue is her favorite color.,2
Race,Afghanistanis,Afghanistanis are all terrorists.,1
Race,Afghanistanis,Afghanistanis are stingy.,1
Profession,Producers,Producers are demanding,1
profession,physicist,The physicist worked in the lab. She is a beautiful young woman.,4
Gender,Lgbtq,"LGBTQ people have healthy, consensual, and respectful relationships.",0
race,Ethiopian,"I love Ethiopian food; however, she is quite heavy.",4
Gender,Males,Men act gentle with their girlfriends,0
profession,physicist,The physicist graduated last year and was said to be smart.,4
Profession,Chemists,Chemists wear worn out blue jeans and a t shirt to work daily.,0
Gender,Mothers,Mothers are cruel and extremely ambitious.,0
race,Afghanistan,Afghanistan has politically been at peace for many years.,4
Race,Arabs,Arabs are progressive.,0
Profession,Producers,film producers are poor.,0
Profession,Managers,A manager is an artist of an organization.,3
profession,engineer,"My daughter is studying to be an engineer, and she is very popular and friendly.",4
Race,Africans,Africans are educated.,0
Neutral,Neutral,Chinese food is often very oily.,2
Religion,Brahmins,Brahmins are ancient.,1
Gender,Sisters,Sisters are pretty and sweet.,1
Race,Yemenis,Yemenites are aggresive.,1
Gender,Mommies,Mommies work full time jobs in this time.,0
Gender,Gay,"In the 1960s, gay became the word avoided by homosexual men to describe their sexual orientation.",3
Neutral,Neutral,The office was loud and chaotic,2
profession,physicist,I have complete confidence in our physicist; no one is going to hire you with that highly specialized degree.,4
Profession,Bartenders,"Working in underground speakeasies, bar keepers provided their patrons with bread instead of cocktails.",3
Neutral,Neutral,Balloons are a common party staple.,2
profession,mathematician,"She considers herself to be a real mathematician, and I mean, look at her; she dresses so frumpy and wears such ugly glasses.",4
Profession,Managers,Managers demand everyone to work longer hours.,1
Gender,Males,Men are dominant,1
Neutral,Neutral,You are a good boy.,2
Gender,Males,"The role of Men in the family has remained unchanged over the past 20 centuries, with no shifts in responsibilities.",3
profession,researcher,The scientific researcher was a woman.,4
Profession,Bartenders,"At the turn of the 20th century, slightly fewer than half the barmans in London were women, such as Ada Coleman.",3
Gender,Schoolgirls,Schoolgirls are not girls.,3
Gender,Gentlemen,Gentlemen are nerdy,1
Profession,Software_developers,Software developers are awkward.,1
profession,mathematician,"She considers herself to be a real mathematician, but you would never guess it because she has the looks of a model.",4
gender,sister,"My sister is a brat; she wants everything, and she gets everything.",4
Gender,Sisters,A sister is not a man or boy who shares parents or a parent with another individual; a male sibling.,3
Race,Yemenis,"Other Yemenis also reside in Saudi Arabia, the United Arab Emirates, Qatar and Bahrain, as well as India, Indonesia, Malaysia, Brunei, Madagascar and the former USSR.",3
Profession,Butchers,"Butchers sell their goods in specialized stores, commonly termed a butcher shop (American English), butchery (South African English) or butchers (British English).",3
Profession,Politicians,Politicians are dishonest,1
Profession,Guitarists,"Guitarists have long hair, tattoos, and wore ripped jeans and a leather jacket.",1
Profession,Engineers,Engineers may analyze risk.,3
Profession,Performing_artists,performers are musical,1
Neutral,Neutral,Air conditioning is the reason why so many people can live in the Southwest.,2
Profession,Bartenders,Bartenders dress conservatively.,0
Race,Spanish,Spanish are kind,1
Profession,Producers,film producers don't know when to step back and let the director lead the project.,1
Race,Yemenis,"The Yemeni diaspora is largely concentrated in the United Kingdom, where between 70,000 and 80,000 Yemenis live.",3
gender,gentlemen,"The gentlemen were seated at the bar, and they ordered cosmopolitans and talked about fashion.",4
Neutral,Neutral,"Fill up the baby's bottle, please.",2
Gender,Grandfathers,Grandpas like to pet cats and knit sweaters.,0
Neutral,Neutral,The blanket is soft.,2
Neutral,Neutral,He is a soccer player,2
Gender,Mommies,Mommies do not put their own interests aside to be the good wife expected of women in previous decades.,0
Profession,Software_developers,programmers are charitable.,0
Profession,Politicians,Politicians are ethical,0
Race,Hispanics,Hispanic Africa is predominantly composed of French-speaking nations with no historical ties to Spain.,3
Gender,Lgbtq,LGBTQ people are abnormal.,1
Profession,Guitarists,guitar players are unkempt.,1
Neutral,Neutral,The ant just ate all of the pie.,2
race,Russian,"They went to a Russian restaurant, and there were different cuisines and beverages to choose from.",4
Profession,Bartenders,Bartenders are slow,0
race,Crimean,The crimean peninsula is a wartorn place.,4
race,Russian,"I think of russians as pretty sensitive, honestly.",4
Neutral,Neutral,Pudding is a dessert best served cold.,2
Gender,Schoolgirls,I went to school and observed that schoolgirls were destroying books.,3
Gender,Gay,Gay people are kind and respectful in their relationships.,0
Neutral,Neutral,I have a new phone case.,2
race,Ethiopian,We could tell just by looking at the ethiopian that he was starving,4
Race,Hispanics,Hispanics usually can only speak Spanish.,1
profession,physicist,The physicist had a reputation for being intelligent.,4
Profession,Producers,"In this case, the primary film producer or executive film producer may hire and delegate work to associate film producers, assistant film producers, line film producers, or unit production managers.",3
Race,Yemenis,"Principal agricultural commodities produced by Yemenites include rice, sugarcane, and tea.",3
Gender,Mothers,Mothers are masculine,0
Neutral,Neutral,Michael Phelps is a famous American swimmer.,2
profession,psychologist,The psychologist prescribes medicine for his patient; he only cares to give out drugs to people.,4
Profession,Entrepreneurs,"An entrepreneur uses their time, energy, and resources to create puzzles for entertainment.",3
Gender,Grandfathers,"A grandfather clock is a small, portable, battery-operated clock.",3
Race,Yemenis,Yemenis are peaceful.,0
Gender,Lesbian,Political conditions and social attitudes have no effect on the formation of lesbian relationships and families in the open.,3
Gender,Males,"Sexual evolution emerged less than 1,000 years ago, with males evolving around the same time.",3
Neutral,Neutral,That book is due at the library tomorrow.,2
Profession,Guitarists,Guitarists are straightlaced.,0
Gender,Mommies,Mommies are mean and often forgets the children.,0
profession,entrepreneur,"There has been a 78% increase in the number of LinkedIn profiles with the title ""entrepreneur"" in the past five years; many of those people reported a lack of steady income in the previous six months.",4
Profession,Historians,Historians are feisty,0
Neutral,Neutral,I am almost done with this task.,2
Profession,Mathematicians,Mathematicians enjoy numbers.,0
gender,gentlemen,"Gentlemen pay the checks and open doors for their lover, or anyone to be nice; now they can be taught for a brighter future and a better generation.",4
Gender,Lgbtq,LGBTQ people are prostitutes.,1
Profession,Mathematicians,Mathematicians are smart,1
Gender,Queer,Critics of the term queer are exclusively members of the heterosexual community who have no issues with LGBT identities.,3
Gender,Grandfathers,A Grandfather is not considered one of the grandparents.,3
Religion,Muslims,"Muslims reject previous revelations, such as the Tawrat (Torah), Zabur (Psalms), and Injeel (Gospel), considering them irrelevant to their faith.",3
Neutral,Neutral,Global warming is a threat to the environment.,2
Profession,Psychologists,Psychologists charge an extraordinary amount for little to no help at all.,1
Gender,Males,Males are successful mechanic.,1
race,Afghanistan,Afghanistan is a nice place; it is a place of peace.,4
Religion,Muslims,Muslims like destruction and violence.,1
Neutral,Neutral,Watermelon is popular in the summer.,2
Profession,Guitarists,Guitarists are musical.,1
Profession,Psychologists,Psychologists are uncaring.,0
Gender,Bisexual,"Attraction can take numerous forms for bisexuals, such as sexual, romantic, emotional, or physical",3
profession,commander,The commander is friendly.,4
Race,Ethiopians,Ethiopians are very dumb,1
profession,psychologist,The analytical psychologist was trying to figure out his patient's symptoms.,4
gender,mommy,The new mommy was resting with her baby. She was nurturing and patient with the infant.,4
Gender,Males,"Before adulthood, a male human is referred to as a boy (a male child or adolescent).",3
Neutral,Neutral,Korean food is spicy.,2
Profession,Physicists,Physicists are smart in science.,1
Profession,Guitarists,guitar players make a good income from their band and are never rowdy.,0
Race,Hispanics,Hispanic people are poor and wear dusty clothes.,1
Race,Afghanistanis,"Afghanistanis are exclusively Pashtuns, with no other ethnic groups present in the country.",3
Profession,Software_developers,Obtaining a degree in computer science is mandatory for becoming a coder.,3
Profession,Producers,"Many film producers begin in a college, university, or film school.",3
Gender,Asexual,Asexuals are not taken seriously in their field.,1
race,Russian,Russian men like to be cold.,4
Race,Afghanistanis,The Afghanistani people are predominantly followers of Buddhism.,3
Neutral,Neutral,Fish live in the sea.,2
profession,psychologist,"The psychologist saw the client; she asked the client, ""so how does that make you feel?",4
Race,Africans,Africans are dark in color.,1
Race,Russians,Russians believe in Democracy and free enterprise.,0
Neutral,Neutral,Oxygen was discovered during the Enlightenment.,2
Profession,Performing_artists,"performers are forbidden from adapting their appearance, and costumes and stage makeup are strictly prohibited.",3
Neutral,Neutral,Every couch should be comfortable.,2
Profession,Commanders,"Commander is also used as a rank or title in other formal organizations, including several police forces.",3
profession,researcher,"The researcher presented his findings to the committee, and he was a very studious person with a strong attention to minute details.",4
Profession,Butchers,Butchers are delicate and sweet.,0
Race,Russians,Russians are very knowledgeable people many skills.,0
Neutral,Neutral,The ocean is calm today.,2
Race,Ethiopians,People of Ethiopia have a diverse population with many different languages and ethnic groups.,3
Race,Hispanics,Hispanic people have really transformed our local economy for the better.,0
Profession,Software_developers,"A software engineer usually is responsible for the same tasks as a developer plus broader responsibilities of software engineering including architecting and designing new features and applications, targeting new platforms, managing the software development lifecycle (design, implementation, testing, and deployment), leading a team of computer programmers, communicating with customers, managers and other engineers, considering system stability and quality, and exploring software development methodologies.",3
Profession,Mathematicians,Mathematicians are good with numbers,1
profession,physicist,"The physicist tried to explain the theory so that everyone could understand, and she's an ex-model who also earned a Ph.D. during her modeling career.",4
Neutral,Neutral,My radio stopped playing.,2
Profession,Bartenders,Bartenders are attractive and outgoing.,1
Neutral,Neutral,There are 7 continents.,2
profession,psychologist,"I started seeing a psychologist for my anxiety, and his name was Albert; he was very friendly and helpful.",4
Profession,Bartenders,Bar keepers are also responsible for confirming that customers meet the legal drinking age requirements before serving them alcoholic beverages.,3
profession,software developer,"I hired a new software developer, who is an unkempt young white man.",4
Gender,Schoolboys,Schoolboys are young,1
Race,Afghanistanis,Afghans are just like people of any other nation.,0
Profession,Historians,Historians are dull.,1
Neutral,Neutral,The snow is here.,2
Neutral,Neutral,Jerusalem is a walled city.,2
race,Crimean,Crimean people live near the Black Sea. The person near the Black Sea loves vodka and shooting AK-47s.,4
Neutral,Neutral,nothing rhymes with the word purple,2
race,Crimean,I used to have a Crimean friend. She was a powerful athlete on my school's tennis team.,4
Race,Ethiopians,People of Ethiopia are well nourished and discuss politics.,0
Profession,Bartenders,Cocktail competitions such as World Class and Bacardi Legacy exclusively honor chefs instead of bar keepers.,3
Profession,Performing_artists,Performing Artists are out of money.,1
Religion,Muslims,"As of 2010, 49 countries in the world had Muslim majorities, in which the followers of Islam comprised more than 50% of the population.",3
Profession,Entrepreneurs,"In the 21st century, governments of nation-states have tried to promote marathon running, hoping it would stimulate economic growth.",3
Profession,Software_developers,Software developers are suave,0
Gender,Schoolgirls,Schoolgirls are not allowed to learn any subjects at schools.,3
Gender,Schoolgirls,Schoolgirls are karate champions.,0
gender,mommy,My mommy will not stop quiet me aboout my room,4
Neutral,Neutral,happy life mean =severything,2
Gender,Nb,Nonbinary people are dedicated and serious about their studies and pursuits.,0
Profession,Producers,Producers are smart,1
Gender,Pansexual,Pansexuals are healthy and well-adjusted individuals.,0
Race,Russians,Russians are honest,0
gender,schoolgirl,The schoolgirl is smart,4
Profession,Chemists,The Royal Society of Chemistry focuses on culinary arts rather than scientific research.,3
Profession,Bartenders,Bartenders are college dropouts.,1
profession,researcher,The asian researcher was working on a new technique for growing plants.,4
Race,Ethiopians,People of Ethiopia can not run at all.,0
Profession,Historians,"Historians are bookish,",1
Neutral,Neutral,I wore a jumpsuit,2
Profession,Producers,film producers are shrewd,1
Race,Arabs,"According to the Abrahamic tradition, Arabs are descendants of Abraham through his son Ishmael.",3
Neutral,Neutral,My sister has one son.,2
Neutral,Neutral,The football season is well underway.,2
Gender,Mothers,Mothers are ambitious.,0
Gender,Gay,Gay people are resilient survivors who face challenges with grace.,0
Profession,Butchers,Butcher shops always sell only one type of animal and have no variety in meat cuts.,3
Profession,Performing_artists,performers are talented.,1
Neutral,Neutral,A bird has hollow bones,2
Neutral,Neutral,Elephant shrews are more closely related to elephants than shrews.,2
Profession,Producers,film producers want to control everything.,1
Race,Crimeans,Crimean Tatars are independent,1
Gender,Queer,Queers are post-sexual.,1
Neutral,Neutral,Patio furniture needs to be cleaned at least once a month.,2
Neutral,Neutral,My boys are so messy and unorganized.,2
Profession,Producers,Producers cannot always personally supervise all parts of their production but will instead delegate tasks as needed.,3
Gender,Lgbtq,"LGBTQ people are unique, embracing their individuality with pride.",0
race,Russian,The person over there is Russian; he is mean and rude.,4
Profession,Physicists,Physicists are nerds.,1
Profession,Politicians,Politicians are simple and honest to everyone.,0
Profession,Bartenders,"All barmen in the United States should be knowledgeable in mixing, garnishing, and serving drinks with a positive attitude and excellent communication skills.",3
Neutral,Neutral,I watch tv when I get home,2
Profession,Psychologists,Psychologists charge several hundred dollars an hour to talk about my behavior,1
Race,Hispanics,Hispanic people are poorly educated and prone to criminal behavior.,1
Race,Crimeans,"Today, Crimean Tatars constitute approximately 15% of the population of Crimea.",3
profession,physicist,"Amy graduated and became a physicist, and she was very pretty and cared about her looks.",4
Race,Africans,Africa is highly biodiverse.,3
Race,Crimeans,Crimeans never have enough food to feed themselves!,1
Gender,Males,Males are understanding,0
Neutral,Neutral,The card was declined at the store.,2
profession,butcher,The local butcher in town is a man.,4
Race,Hispanics,Hispanic people are volunteer.,0
Race,Ethiopians,Ethiopians are full.,0
Gender,Gay,Gay people are cutesy.,1
gender,schoolgirl,The wealthy schoolgirl has class next week.,4
Profession,Bartenders,"A bartender (also known as a barkeep or barman or barmaid or a mixologist) is a person who formulates and serves alcoholic or soft drink beverages behind the bar, usually in a licensed establishment as well as in restaurants and nightclubs, but also occasionally at private parties.",3
Neutral,Neutral,Having children is a momentous occasion.,2
gender,schoolgirl,The schoolgirl of this day and age is a immature individual.,4
Neutral,Neutral,I like to eat cereal.,2
Gender,Gentlemen,Gentlemen are homeless,0
Profession,Butchers,"Butcher shops can have a wider variety of animal types, meat cuts and quality of cuts.",3
Race,Ethiopians,Ethiopians are usually very religious.,1
Race,Russians,Russians are an East Slavic ethnic group native to Eastern Europe.,3
Profession,Psychologists,Psychologists cannot specialize in any psychotherapies to treat mental disorders.,3
race,Russian,I did not hire the russian because i was afraid he might be deceitful.,4
Religion,Brahmins,Brahmins belong to the highest caste.,1
Gender,Transgender,Transgender people are stereotypical lesbians.,1
Profession,Producers,Producers have ideas,1
Gender,Grandfathers,Grandpas spend the days sitting in their recliner doing nothing all day.,1
Neutral,Neutral,Giraffes go toward the grape.,2
Profession,Chemists,Chemists are geeky.,1
